Generation,Car ID,Speed,Angle,Distance,Alive
1,4,40,0,330,True
1,8,40,0,330,True
1,9,40,0,330,True
1,18,12,0,152,True
1,19,12,0,152,True
1,20,20,0,220,True
1,22,12,0,152,True
1,23,12,0,152,True
1,33,12,0,152,True
1,35,40,0,330,True
1,38,40,0,330,True
1,2,42,0,372,True
1,4,42,0,372,True
1,8,42,0,372,True
1,9,42,0,372,True
1,18,12,0,164,True
1,19,12,0,164,True
1,20,20,10,240,True
1,22,12,0,164,True
1,23,12,0,164,True
1,33,12,0,164,True
1,35,42,0,372,True
1,38,42,0,372,True
1,2,44,0,416,True
1,4,44,0,416,True
1,8,44,0,416,True
1,9,44,0,416,True
1,18,12,0,176,True
1,19,12,0,176,True
1,20,20,0,260,True
1,22,12,0,176,True
1,23,12,0,176,True
1,33,12,0,176,True
1,35,44,0,416,True
1,38,40,0,412,True
1,2,46,0,462,False
1,4,46,0,462,False
1,8,46,0,462,False
1,9,42,0,458,True
1,18,12,0,188,True
1,19,12,0,188,True
1,20,20,10,280,False
1,22,12,0,188,True
1,23,12,0,188,True
1,33,12,0,188,True
1,35,46,0,462,False
1,38,38,0,450,True
1,9,40,0,498,False
1,18,12,0,200,True
1,19,12,0,200,True
1,22,12,0,200,True
1,23,12,0,200,True
1,33,12,0,200,True
1,38,36,0,486,False
1,18,12,0,212,True
1,19,12,0,212,True
1,22,12,0,212,True
1,23,12,0,212,True
1,33,12,0,212,True
1,18,12,0,224,True
1,19,12,0,224,True
1,22,12,0,224,True
1,23,12,0,224,True
1,33,12,0,224,True
1,18,12,0,236,True
1,19,12,0,236,True
1,22,12,0,236,True
1,23,12,0,236,True
1,33,12,0,236,True
1,18,12,0,248,True
1,19,12,0,248,True
1,22,12,0,248,True
1,23,12,0,248,True
1,33,12,0,248,True
1,18,12,0,260,True
1,19,12,0,260,True
1,22,12,0,260,True
1,23,12,0,260,True
1,33,12,0,260,True
1,18,12,0,272,True
1,19,12,0,272,True
1,22,12,0,272,True
1,23,12,0,272,True
1,33,12,0,272,True
1,18,12,0,284,True
1,19,12,0,284,True
1,22,12,0,284,True
1,23,12,0,284,True
1,33,12,0,284,True
1,18,12,0,296,True
1,19,12,0,296,True
1,22,12,0,296,True
1,23,12,0,296,True
1,33,12,0,296,True
1,18,12,0,308,True
1,19,12,0,308,True
1,22,12,0,308,True
1,23,12,0,308,True
1,33,12,0,308,True
1,18,12,0,320,True
1,19,12,0,320,True
1,22,12,0,320,True
1,23,12,0,320,True
1,33,12,0,320,True
1,18,12,0,332,True
1,19,12,0,332,True
1,22,12,0,332,True
1,23,12,0,332,True
1,33,12,0,332,True
1,18,12,0,344,True
1,19,12,0,344,True
1,22,12,0,344,True
1,23,12,0,344,True
1,33,12,0,344,True
1,18,12,0,356,True
1,19,12,0,356,True
1,22,12,0,356,True
1,23,12,0,356,True
1,33,12,0,356,True
1,18,14,0,370,True
1,19,12,0,368,True
1,22,12,0,368,True
1,23,12,0,368,True
1,33,14,0,370,True
1,18,12,0,382,True
1,19,12,0,380,True
1,22,12,0,380,True
1,23,12,0,380,True
1,33,12,0,382,True
1,18,14,0,396,True
1,19,12,0,392,True
1,22,12,10,392,True
1,23,12,10,392,True
1,33,12,0,394,True
1,18,16,0,412,True
1,19,12,0,404,True
1,22,12,10,404,True
1,23,12,20,404,True
1,33,12,0,406,True
1,18,18,0,430,True
1,19,12,0,416,True
1,22,12,20,416,True
1,23,12,30,416,True
1,33,12,0,418,True
1,18,20,0,450,True
1,19,12,0,428,True
1,22,12,30,428,True
1,23,12,30,428,True
1,33,14,0,432,True
1,18,22,0,472,False
1,19,12,0,440,True
1,22,12,40,440,True
1,23,12,30,440,True
1,33,16,0,448,True
1,19,12,0,452,True
1,22,12,50,452,True
1,23,12,30,452,True
1,33,18,0,466,False
1,19,12,0,464,False
1,22,12,60,464,True
1,23,12,30,464,True
1,22,12,70,476,False
1,23,12,40,476,True
1,23,12,40,488,True
1,23,12,40,500,False
2,0,20,10,20,True
2,1,20,0,20,True
2,2,20,0,20,True
2,3,20,0,20,True
2,4,20,0,20,True
2,5,20,0,20,True
2,6,20,0,20,True
2,7,20,0,20,True
2,8,20,0,20,True
2,9,20,0,20,True
2,10,20,0,20,True
2,11,20,0,20,True
2,12,20,0,20,True
2,13,20,0,20,True
2,14,20,10,20,True
2,15,20,0,20,True
2,16,20,0,20,True
2,17,20,0,20,True
2,18,20,10,20,True
2,19,20,-10,20,True
2,20,20,10,20,True
2,21,20,0,20,True
2,22,20,0,20,True
2,23,20,0,20,True
2,24,20,0,20,True
2,25,20,0,20,True
2,26,20,0,20,True
2,27,20,0,20,True
2,28,20,0,20,True
2,29,20,0,20,True
2,30,20,-10,20,True
2,31,20,0,20,True
2,32,20,0,20,True
2,33,20,0,20,True
2,34,20,10,20,True
2,35,20,0,20,True
2,36,20,0,20,True
