Generation,Car ID,Speed,Angle,Distance,Alive
1,12,24,80,252,True
1,19,28,70,268,True
1,21,12,50,164,True
1,24,20,110,240,True
1,25,20,110,240,True
1,27,20,60,240,True
1,34,20,110,240,True
1,36,20,70,240,True
1,0,14,80,248,True
1,8,22,100,268,True
1,11,28,80,292,True
1,12,26,80,278,True
1,19,30,70,298,True
1,21,12,50,176,True
1,24,20,120,260,False
1,25,18,110,258,False
1,27,20,50,260,False
1,34,18,110,258,False
1,36,20,80,260,True
1,0,12,80,260,True
1,8,24,100,292,True
1,11,28,90,320,True
1,12,28,80,306,True
1,19,30,80,328,True
1,21,12,60,188,True
1,36,20,90,280,True
1,0,12,80,272,True
1,8,24,110,316,True
1,11,30,90,350,True
1,12,30,80,336,True
1,19,30,90,358,True
1,21,12,70,200,True
1,36,20,80,300,True
1,0,12,80,284,True
1,8,24,120,340,True
1,11,32,90,382,True
1,12,32,80,368,True
1,19,30,100,388,True
1,21,12,70,212,True
1,36,20,90,320,True
1,0,12,80,296,True
1,8,24,130,364,False
1,11,34,90,416,True
1,12,32,90,400,True
1,19,28,100,416,True
1,21,12,70,224,True
1,36,20,80,340,True
1,0,12,80,308,True
1,11,32,90,448,True
1,12,32,100,432,True
1,19,26,100,442,True
1,21,12,70,236,True
1,36,20,90,360,True
1,0,12,90,320,True
1,11,30,90,478,True
1,12,34,100,466,True
1,19,24,100,466,True
1,21,12,70,248,True
1,36,20,100,380,True
1,0,12,90,332,True
1,11,28,90,506,True
1,12,34,110,500,True
1,19,24,90,490,True
1,21,12,80,260,True
1,36,20,90,400,True
1,0,12,100,344,True
1,11,26,90,532,True
1,12,36,110,536,True
1,19,24,80,514,True
1,21,12,80,272,True
1,36,20,80,420,True
1,0,12,110,356,True
1,11,28,90,560,False
1,12,38,110,574,False
1,19,24,70,538,True
1,21,12,80,284,True
1,36,20,70,440,True
1,0,12,120,368,True
1,19,24,60,562,True
1,21,12,80,296,False
1,36,20,60,460,True
1,0,12,130,380,True
1,19,24,50,586,False
1,36,20,50,480,True
1,0,12,140,392,True
1,36,20,40,500,True
1,0,12,150,404,False
1,36,20,30,520,True
1,36,20,20,540,True
1,36,20,10,560,True
1,36,20,0,580,True
