2024-12-19 12:02:10,645 - Generation 1 - Car 17: Speed: 20, Angle: 50, Distance: 40, Alive: True
2024-12-19 12:02:10,646 - Generation 1 - Car 18: Speed: 20, Angle: 40, Distance: 40, Alive: True
2024-12-19 12:02:10,646 - Generation 1 - Car 19: Speed: 20, Angle: 30, Distance: 40, Alive: True
2024-12-19 12:02:10,646 - Generation 1 - Car 20: Speed: 20, Angle: 60, Distance: 40, Alive: True
2024-12-19 12:02:10,646 - Generation 1 - Car 21: Speed: 20, Angle: 50, Distance: 40, Alive: True
2024-12-19 12:02:10,647 - Generation 1 - Car 22: Speed: 22, Angle: 40, Distance: 42, Alive: True
2024-12-19 12:02:10,647 - Generation 1 - Car 23: Speed: 20, Angle: 60, Distance: 40, Alive: True
2024-12-19 12:02:10,647 - Generation 1 - Car 24: Speed: 20, Angle: 30, Distance: 40, Alive: True
2024-12-19 12:02:10,647 - Generation 1 - Car 25: Speed: 18, Angle: 40, Distance: 38, Alive: True
2024-12-19 12:02:10,647 - Generation 1 - Car 26: Speed: 20, Angle: 40, Distance: 40, Alive: True
2024-12-19 12:02:10,648 - Generation 1 - Car 27: Speed: 18, Angle: 40, Distance: 38, Alive: True
2024-12-19 12:02:10,648 - Generation 1 - Car 28: Speed: 18, Angle: 40, Distance: 38, Alive: True
2024-12-19 12:02:10,648 - Generation 1 - Car 29: Speed: 20, Angle: 30, Distance: 40, Alive: True
2024-12-19 12:02:10,648 - Generation 1 - Car 30: Speed: 22, Angle: 30, Distance: 42, Alive: True
2024-12-19 12:02:10,648 - Generation 1 - Car 31: Speed: 20, Angle: 50, Distance: 40, Alive: True
2024-12-19 12:02:10,649 - Generation 1 - Car 32: Speed: 20, Angle: 50, Distance: 40, Alive: True
2024-12-19 12:02:10,649 - Generation 1 - Car 33: Speed: 18, Angle: 40, Distance: 38, Alive: True
2024-12-19 12:02:10,649 - Generation 1 - Car 34: Speed: 22, Angle: 40, Distance: 42, Alive: True
2024-12-19 12:02:10,649 - Generation 1 - Car 35: Speed: 20, Angle: 40, Distance: 40, Alive: True
2024-12-19 12:02:10,649 - Generation 1 - Car 36: Speed: 20, Angle: 30, Distance: 40, Alive: True
2024-12-19 12:02:10,650 - Generation 1 - Car 37: Speed: 18, Angle: 40, Distance: 38, Alive: True
2024-12-19 12:02:10,650 - Generation 1 - Car 38: Speed: 18, Angle: 40, Distance: 38, Alive: True
2024-12-19 12:02:10,650 - Generation 1 - Car 39: Speed: 18, Angle: 40, Distance: 38, Alive: True
2024-12-19 12:02:10,659 - Generation 1 - Car 0: Speed: 24, Angle: 50, Distance: 66, Alive: True
2024-12-19 12:02:10,659 - Generation 1 - Car 1: Speed: 22, Angle: 50, Distance: 62, Alive: True
2024-12-19 12:02:10,659 - Generation 1 - Car 2: Speed: 24, Angle: 40, Distance: 66, Alive: True
2024-12-19 12:02:10,660 - Generation 1 - Car 3: Speed: 24, Angle: 50, Distance: 66, Alive: True
2024-12-19 12:02:10,660 - Generation 1 - Car 4: Speed: 20, Angle: 70, Distance: 60, Alive: True
2024-12-19 12:02:10,660 - Generation 1 - Car 5: Speed: 20, Angle: 60, Distance: 60, Alive: True
2024-12-19 12:02:10,660 - Generation 1 - Car 6: Speed: 16, Angle: 40, Distance: 54, Alive: True
2024-12-19 12:02:10,660 - Generation 1 - Car 7: Speed: 16, Angle: 50, Distance: 54, Alive: True
2024-12-19 12:02:10,661 - Generation 1 - Car 8: Speed: 24, Angle: 30, Distance: 66, Alive: True
2024-12-19 12:02:10,661 - Generation 1 - Car 9: Speed: 20, Angle: 40, Distance: 60, Alive: True
2024-12-19 12:02:10,661 - Generation 1 - Car 10: Speed: 20, Angle: 10, Distance: 60, Alive: False
2024-12-19 12:02:10,661 - Generation 1 - Car 11: Speed: 20, Angle: 50, Distance: 60, Alive: True
2024-12-19 12:02:10,661 - Generation 1 - Car 12: Speed: 24, Angle: 30, Distance: 66, Alive: True
2024-12-19 12:02:10,662 - Generation 1 - Car 13: Speed: 18, Angle: 30, Distance: 58, Alive: True
2024-12-19 12:02:10,662 - Generation 1 - Car 14: Speed: 20, Angle: 30, Distance: 60, Alive: True
2024-12-19 12:02:10,662 - Generation 1 - Car 15: Speed: 24, Angle: 40, Distance: 66, Alive: True
2024-12-19 12:02:10,662 - Generation 1 - Car 16: Speed: 24, Angle: 30, Distance: 66, Alive: True
2024-12-19 12:02:10,662 - Generation 1 - Car 17: Speed: 18, Angle: 50, Distance: 58, Alive: True
2024-12-19 12:02:10,662 - Generation 1 - Car 18: Speed: 20, Angle: 50, Distance: 60, Alive: True
2024-12-19 12:02:10,663 - Generation 1 - Car 19: Speed: 18, Angle: 30, Distance: 58, Alive: True
2024-12-19 12:02:10,663 - Generation 1 - Car 20: Speed: 20, Angle: 70, Distance: 60, Alive: True
2024-12-19 12:02:10,663 - Generation 1 - Car 21: Speed: 18, Angle: 50, Distance: 58, Alive: True
2024-12-19 12:02:10,663 - Generation 1 - Car 22: Speed: 24, Angle: 40, Distance: 66, Alive: True
2024-12-19 12:02:10,663 - Generation 1 - Car 23: Speed: 18, Angle: 60, Distance: 58, Alive: True
2024-12-19 12:02:10,664 - Generation 1 - Car 24: Speed: 18, Angle: 30, Distance: 58, Alive: True
